area_sqft,city,population_density,property_type_Penthouse,property_type_Villa,price
-0.544980897215868,1,-0.8101578408489168,0,0,16198000.0
-0.034412500452449805,8,-0.8819400725868324,0,0,9044000.0
-0.8345570028428811,6,1.9058156333689031,0,0,7132000.0
-1.4708623928390814,2,-0.6269503302594439,0,1,11914000.0
-0.36590093715705707,7,1.409852797515021,0,0,22462000.0
-1.1736658633797783,7,1.5883880918375288,0,0,18797000.0
-0.6630974666163602,7,1.6969817244666834,1,0,54560000.0
0.316126995832882,5,-0.5766886098117909,0,0,8750000.0
0.19039000260009994,9,-0.40013546784496506,0,0,19008000.0
-1.4518113332583569,6,1.6972648890889235,0,0,9177000.0
0.9905345049905313,7,1.5384095360121164,0,0,33874000.0
-0.32779881799560795,8,-0.5714500643003454,0,0,10307000.0
1.2420084914560954,0,-0.5798034206564342,0,0,6831000.0
0.83431581642859,3,0.12839129956655151,0,0,28169000.0
-1.448001121342212,3,0.05887438480655831,0,0,13718000.0
0.36565975074276585,3,-0.11923616258258925,0,0,8910000.0
-0.2363537320081301,1,-0.589997347057085,0,0,18863000.0
-0.7621629764361278,2,-0.3849861605551091,1,0,28945000.0
-1.9776205776863545,1,-0.8534820280516824,0,1,12966000.0
1.3677454846888775,3,0.12315275405510599,0,0,22602000.0
-0.5487911091320128,9,-0.831253605205819,0,0,7149000.0
2.1297878679178597,7,1.5198622532553767,0,0,39333000.0
1.0705489552295744,3,0.04853887609478742,0,0,24475000.0
0.015120254457434042,1,-0.9377235031681711,0,1,21969000.0
-1.1698556514636334,4,-1.0290440938406673,0,0,7975000.0
-0.030602288536304895,0,-0.373517993354377,0,0,10455000.0
-0.6554770427840704,3,0.06283868951792249,0,0,12818000.0
-0.2058720366789708,4,-0.7345528867107571,0,0,11397000.0
1.2763003987013997,2,-0.37337641104325686,0,0,11368000.0
0.3694699626589108,7,1.3839432345800335,0,0,37100000.0
0.11799597619334665,9,-0.4225054730019486,0,0,17394000.0
1.2648697629529648,3,0.24434721237395363,0,0,18084000.0
-1.4556215451745016,7,1.382385829157712,0,0,20986000.0
-0.068704407697754,8,-0.7140234515983356,0,0,11476000.0
0.36565975074276585,8,-0.41032939424561576,0,0,9194000.0
0.3694699626589108,0,-0.5326565110534246,0,0,12066000.0
0.9371915381645025,1,-0.6170395684810335,0,1,27816000.0
1.6573215903158907,7,1.3417517058662292,0,0,37447000.0
0.12942661194178137,6,2.041593069733126,0,0,5235000.0
